online_order,book_table,votes,location,rest_type,cost,type,rate
1,0,11,4,73,100.0,2,3.6
1,0,402,1,16,500.0,2,4.1
1,0,469,4,24,750.0,2,3.8
1,0,511,48,24,550.0,2,3.3
1,0,57,1,73,200.0,2,3.9
1,0,14,1,73,300.0,2,3.4
1,0,264,1,73,200.0,2,3.9
1,0,62,1,16,400.0,2,3.0
1,0,693,1,24,750.0,2,3.8
1,0,242,31,24,650.0,2,3.8
1,0,27,4,37,250.0,2,3.6
1,0,163,4,73,500.0,2,4.1
1,0,191,4,73,250.0,2,4.2
1,0,32,1,73,150.0,2,3.5
1,0,247,1,24,500.0,2,2.5
1,1,2339,31,24,1500.0,2,4.1
1,0,337,31,73,300.0,2,4.1
1,0,135,1,24,800.0,2,3.9
1,0,172,83,24,700.0,2,3.6
1,0,105,1,24,700.0,2,3.6
1,0,504,1,16,550.0,2,4.2
1,0,36,48,73,200.0,2,3.2
1,0,39,48,73,300.0,2,3.1
1,0,5,48,24,500.0,2,3.1
1,1,1129,31,24,1300.0,2,4.3
1,0,56,48,73,350.0,2,3.9
1,0,860,1,37,500.0,2,4.3
1,0,412,31,24,700.0,2,3.8
1,1,142,31,24,1000.0,2,3.9
1,0,23,31,73,400.0,2,3.0
1,0,143,31,24,750.0,2,3.6
1,1,80,31,24,500.0,2,2.8
1,0,16,29,24,400.0,2,3.6
1,0,181,31,11,250.0,2,4.4
1,0,70,31,73,200.0,2,3.8
1,0,164,4,73,600.0,2,3.8
1,0,58,48,73,650.0,2,3.6
0,0,148,4,26,550.0,2,3.8
0,0,206,4,73,450.0,2,3.9
0,0,16,56,73,300.0,2,3.6
0,0,217,4,24,450.0,2,3.7
0,0,46,4,73,450.0,2,3.6
0,0,148,4,73,150.0,2,3.8
0,0,30,4,37,250.0,2,3.4
0,0,8,56,24,800.0,2,3.6
0,0,4,31,73,250.0,2,3.3
0,0,15,4,5,400.0,2,3.5
1,0,9,83,73,200.0,2,3.4
1,0,31,56,73,300.0,2,3.7
1,0,177,31,24,700.0,2,2.9
1,0,22,4,83,250.0,2,3.7
1,0,10,48,11,100.0,2,3.5
1,0,136,1,73,600.0,2,3.7
1,0,35,48,73,250.0,2,2.9
1,0,185,31,73,200.0,2,4.1
1,0,17,31,16,900.0,2,3.2
1,0,155,56,24,400.0,2,3.8
1,0,42,1,73,300.0,2,3.8
1,0,286,4,24,600.0,2,3.8
1,0,160,1,24,700.0,2,3.8
1,0,59,1,24,750.0,2,3.8
1,0,90,31,24,500.0,2,3.5
1,0,51,48,73,350.0,2,3.7
1,0,89,31,73,200.0,2,4.0
1,0,18,1,73,250.0,2,3.6
1,0,40,4,24,600.0,2,3.9
1,0,35,4,73,200.0,2,2.5
1,0,89,31,73,250.0,2,3.4
1,0,11,4,73,150.0,2,3.2
1,0,62,1,76,600.0,2,3.6
1,0,33,31,37,300.0,2,3.9
1,0,32,31,83,250.0,2,3.8
1,0,139,31,24,550.0,2,4.1
1,0,154,86,73,300.0,2,3.2
1,0,14,1,0,350.0,2,3.6
1,0,237,1,73,200.0,2,3.7
1,0,388,1,24,650.0,2,3.9
1,0,128,48,24,500.0,2,3.9
1,1,1875,31,24,1200.0,2,4.1
1,0,90,1,16,650.0,2,3.8
1,0,7,48,73,250.0,2,3.1
1,0,38,83,24,400.0,2,3.7
1,0,179,1,36,600.0,2,4.2
1,0,43,4,37,250.0,2,4.0
1,0,275,4,73,100.0,2,4.3
1,0,323,31,24,850.0,2,3.7
1,0,28,83,24,400.0,2,3.1
1,0,18,4,73,200.0,2,3.9
1,0,6,4,73,100.0,2,3.3
1,0,322,31,24,400.0,2,4.3
1,0,157,31,16,450.0,2,2.6
1,0,543,4,73,300.0,2,3.9
1,0,180,1,16,500.0,2,3.7
1,0,444,4,73,100.0,2,4.2
1,0,134,31,73,400.0,2,3.9
1,0,577,31,24,900.0,2,3.8
1,0,60,1,73,200.0,2,4.2
1,0,144,31,24,550.0,2,3.9
1,0,787,1,24,800.0,2,4.1
1,0,16,4,73,200.0,2,3.6
1,0,84,1,73,250.0,2,3.6
1,0,95,1,73,150.0,2,3.6
1,1,349,1,24,1200.0,2,4.0
1,0,248,48,73,400.0,2,3.7
1,0,216,4,16,500.0,2,4.1
1,0,324,1,16,700.0,2,4.0
1,0,231,48,73,400.0,2,2.6
1,0,102,83,24,400.0,2,3.4
1,0,133,1,16,800.0,2,3.9
1,0,45,1,24,800.0,2,2.8
1,0,149,48,73,300.0,2,3.9
1,0,75,1,73,200.0,2,3.8
1,0,53,67,36,600.0,2,4.0
1,1,815,31,24,900.0,2,4.2
1,1,633,1,24,800.0,2,4.0
1,0,56,31,37,400.0,2,3.5
1,0,82,1,73,300.0,2,3.0
1,0,35,31,73,200.0,2,3.7
1,0,20,4,73,150.0,2,3.6
1,0,14,48,73,250.0,2,3.1
1,0,70,1,37,400.0,2,3.9
1,0,91,31,16,300.0,2,3.9
1,0,45,31,73,200.0,2,3.6
1,0,7,1,73,250.0,2,3.4
1,0,28,1,73,150.0,2,3.8
1,0,24,1,24,600.0,2,3.6
1,0,36,4,37,200.0,2,3.8
1,0,11,31,73,200.0,2,3.5
1,0,77,48,16,650.0,2,3.8
1,0,8,1,83,100.0,2,3.2
1,0,14,31,73,100.0,2,3.7
1,0,210,48,24,600.0,2,3.8
1,0,130,31,16,650.0,2,4.1
1,0,30,31,11,100.0,2,4.1
1,0,144,1,16,700.0,2,3.8
1,0,11,4,6,800.0,2,3.4
1,0,133,31,24,700.0,2,3.7
1,0,136,31,73,350.0,2,4.0
1,0,4,4,73,200.0,2,3.1
1,0,11,4,84,200.0,2,3.5
1,0,74,4,73,300.0,2,3.8
1,0,30,4,73,300.0,2,3.7
1,0,7,4,73,200.0,2,3.0
1,0,75,1,23,200.0,2,3.8
1,0,54,4,16,600.0,2,3.7
1,0,23,4,56,100.0,2,3.6
1,0,119,1,24,400.0,2,3.2
1,0,73,1,73,400.0,2,3.7
1,0,58,4,16,400.0,2,3.4
1,0,129,1,24,600.0,2,3.6
1,0,24,1,73,250.0,2,3.6
1,0,175,48,73,400.0,2,3.0
1,0,21,56,73,300.0,2,3.7
1,0,41,79,55,400.0,2,3.5
1,0,35,31,73,300.0,2,3.6
1,0,176,4,24,800.0,2,4.1
1,0,45,1,11,300.0,2,3.5
1,0,47,31,77,400.0,2,3.7
1,1,36,31,24,650.0,2,3.7
1,0,52,48,14,400.0,2,3.8
1,0,123,1,73,200.0,2,2.7
1,0,59,48,24,700.0,2,3.6
1,0,4,48,73,300.0,2,3.2
1,0,101,1,73,400.0,2,3.8
1,0,54,1,13,400.0,2,3.7
1,0,22,4,73,200.0,2,3.6
1,0,31,1,85,250.0,2,3.1
1,0,29,48,16,500.0,2,3.0
1,0,6,31,11,100.0,2,3.4
1,0,22,4,73,250.0,2,3.0
1,0,11,1,73,500.0,2,2.9
1,0,101,4,73,150.0,2,3.9
1,1,442,31,71,1200.0,2,4.1
1,0,155,4,73,400.0,2,3.5
1,0,12,1,14,150.0,2,3.4
1,0,15,4,73,100.0,2,3.6
1,0,10,4,73,200.0,2,3.5
1,0,25,1,73,300.0,2,3.8
1,0,61,1,73,300.0,2,3.8
1,0,23,83,73,300.0,2,3.7
1,0,25,4,73,350.0,2,3.8
1,0,40,48,73,200.0,2,3.7
1,0,4,4,73,100.0,2,3.3
1,0,8,4,73,150.0,2,3.4
1,0,32,48,73,300.0,2,3.5
1,0,10,4,73,200.0,2,3.3
1,0,6,4,73,300.0,2,3.4
1,0,53,31,73,250.0,2,3.8
1,0,67,48,24,700.0,2,3.7
1,0,23,31,83,250.0,2,2.9
1,0,19,1,73,200.0,2,3.4
1,0,24,1,73,300.0,2,3.6
1,0,232,31,73,400.0,2,4.0
1,0,221,31,24,700.0,2,3.9
1,1,1063,31,25,1200.0,2,4.1
1,0,93,4,73,200.0,2,3.7
1,0,233,31,24,800.0,2,3.9
1,0,211,31,24,500.0,2,3.9
1,0,1778,31,73,200.0,2,4.0
1,0,218,86,24,800.0,2,3.6
1,0,514,4,16,600.0,2,3.7
1,1,866,31,24,900.0,2,4.0
1,0,96,48,73,400.0,2,3.2
1,0,80,1,73,250.0,2,3.5
1,0,73,4,0,300.0,2,4.0
1,0,84,31,83,400.0,2,3.9
1,0,88,1,73,350.0,2,3.5
1,0,179,1,24,600.0,2,3.5
1,0,61,4,73,100.0,2,3.8
1,0,128,83,24,450.0,2,3.7
1,0,339,31,73,400.0,2,3.8
1,0,449,4,73,100.0,2,4.1
1,0,210,31,39,150.0,2,4.1
1,0,57,4,73,200.0,2,3.7
1,0,213,1,73,400.0,2,3.0
1,0,208,31,14,250.0,2,3.2
1,0,70,1,73,100.0,2,3.8
1,0,219,4,16,600.0,2,4.0
1,0,59,1,73,200.0,2,3.7
1,0,10,1,73,500.0,2,3.1
1,0,9,48,73,400.0,2,3.0
1,0,124,48,24,750.0,2,3.7
1,0,19,48,73,100.0,2,3.7
1,0,4,4,73,150.0,2,3.3
1,0,4,48,37,150.0,2,3.3
1,0,21,4,37,200.0,2,3.8
1,0,8,1,74,250.0,2,3.4
1,0,10,48,73,400.0,2,3.5
1,0,4,48,73,200.0,2,3.2
1,0,4,1,36,350.0,2,3.1
1,0,16,29,86,500.0,2,3.6
1,0,4,48,11,100.0,2,3.3
1,0,12,31,73,300.0,2,3.4
1,0,14,31,24,600.0,2,3.9
1,0,0,31,73,300.0,2,3.7
1,0,5,13,86,199.0,2,2.8
1,0,5,4,25,800.0,2,3.3
1,0,15,1,73,250.0,2,3.5
1,0,4,4,24,500.0,2,3.4
1,0,17,4,73,300.0,2,3.6
1,0,6,1,73,500.0,2,3.3
1,0,10,1,73,100.0,2,3.4
1,1,775,1,24,800.0,2,4.1
1,1,2022,31,24,1000.0,2,4.2
1,1,150,1,16,600.0,2,4.2
1,0,232,4,24,750.0,2,4.0
1,0,38,4,73,200.0,2,3.9
1,1,431,31,24,800.0,2,3.5
1,1,2115,1,24,800.0,2,4.2
1,0,30,83,73,200.0,2,3.4
1,0,150,31,24,800.0,2,4.2
1,0,12,48,73,200.0,2,3.3
1,0,155,31,24,450.0,2,3.8
1,0,33,4,73,200.0,2,3.7
1,1,666,31,25,1000.0,2,4.1
1,0,240,4,16,700.0,2,3.9
1,0,918,1,19,800.0,2,3.8
1,0,465,31,24,600.0,2,4.0
1,1,970,31,65,1500.0,2,4.1
1,0,128,1,73,300.0,2,3.3
1,0,241,48,73,300.0,2,3.6
1,0,22,1,73,200.0,2,3.4
1,0,734,1,73,200.0,2,4.3
1,0,130,31,73,400.0,2,3.8
1,0,261,31,16,700.0,2,4.2
1,0,191,48,73,300.0,2,4.0
1,0,364,4,24,550.0,2,4.1
1,0,133,1,73,300.0,2,3.8
1,0,888,1,24,750.0,2,3.9
1,0,13,1,16,400.0,2,3.1
1,0,750,4,24,500.0,2,3.9
1,1,164,1,16,500.0,2,4.2
1,0,6,1,36,200.0,2,3.2
1,0,527,4,24,500.0,2,3.8
0,0,345,1,37,400.0,3,4.3
0,0,356,1,83,150.0,3,4.4
1,0,17,1,37,400.0,3,3.7
1,0,38,1,37,150.0,3,3.9
0,0,78,1,3,150.0,3,3.7
0,0,60,1,37,400.0,3,3.8
1,0,115,1,83,400.0,3,4.0
0,0,39,1,0,300.0,3,3.8
1,0,116,1,37,400.0,3,3.9
1,0,918,1,19,800.0,3,3.8
0,0,46,1,84,400.0,3,3.7
1,0,41,1,37,300.0,3,3.9
1,0,144,1,16,700.0,3,3.8
0,0,28,1,13,150.0,3,3.8
1,0,860,1,37,500.0,3,4.3
0,0,14,1,83,200.0,3,3.5
0,0,66,1,0,300.0,3,4.0
1,0,8,1,83,100.0,3,3.2
1,0,54,1,13,400.0,3,3.7
0,0,7,1,37,500.0,3,3.5
0,0,9,1,37,300.0,3,3.2
0,0,42,1,14,300.0,3,3.6
0,0,64,1,73,250.0,3,3.8
1,0,14,1,0,350.0,3,3.6
0,0,45,1,86,400.0,3,3.8
0,0,11,1,16,600.0,3,3.2
0,0,13,1,0,300.0,3,3.5
0,0,7,1,37,150.0,3,3.4
0,0,8,1,0,400.0,3,3.4
0,0,25,1,37,200.0,3,2.9
0,0,17,1,37,150.0,3,3.2
1,0,35,1,36,500.0,3,3.9
1,0,70,1,37,400.0,3,3.9
0,0,98,4,84,400.0,3,4.0
0,0,25,4,37,250.0,3,3.7
1,0,219,4,16,600.0,3,4.0
1,0,73,4,0,300.0,3,4.0
0,0,16,4,5,150.0,3,3.6
0,0,8,4,0,250.0,3,3.6
1,0,15,4,0,400.0,3,3.8
0,0,46,4,84,200.0,3,3.6
1,0,13,4,44,300.0,3,3.3
1,0,9,4,37,250.0,3,3.3
1,0,43,4,37,250.0,3,4.0
1,0,97,4,24,400.0,3,2.7
1,0,22,4,83,250.0,3,3.7
0,0,15,4,5,400.0,3,3.5
1,0,27,4,37,250.0,3,3.6
1,0,888,1,24,750.0,4,3.9
1,1,349,1,24,1200.0,4,4.0
1,0,287,1,73,350.0,4,4.2
1,1,2556,1,26,600.0,4,4.6
1,1,354,1,24,800.0,4,4.2
1,1,775,1,24,800.0,4,4.1
1,1,2115,1,24,800.0,4,4.2
0,1,977,1,57,1300.0,4,3.8
0,0,868,1,68,1200.0,4,4.1
1,0,324,1,16,700.0,4,4.0
1,0,787,1,24,800.0,4,4.1
1,0,504,1,16,550.0,4,4.2
1,0,402,1,16,500.0,4,4.1
1,1,150,1,16,600.0,4,4.2
1,1,164,1,16,500.0,4,4.2
0,0,244,1,24,800.0,4,4.2
1,0,771,1,24,450.0,4,4.0
1,0,1647,1,24,600.0,4,4.2
0,1,808,1,24,850.0,4,4.0
0,0,424,1,16,450.0,4,4.0
1,0,135,1,24,800.0,4,3.9
0,0,28,1,62,300.0,4,3.9
1,0,918,1,19,800.0,4,3.8
1,0,90,1,16,650.0,4,3.8
1,0,519,1,24,900.0,4,3.9
1,0,105,1,24,700.0,4,3.6
0,0,43,1,7,700.0,4,3.7
0,0,46,1,84,400.0,4,3.7
1,0,133,1,16,800.0,4,3.9
1,0,144,1,16,700.0,4,3.8
0,0,93,1,16,300.0,4,3.9
1,0,42,1,73,300.0,4,3.8
1,0,247,1,24,500.0,4,2.5
1,0,13,1,16,400.0,4,3.1
0,0,39,1,24,450.0,4,3.7
1,0,62,1,16,400.0,4,3.0
1,0,160,1,24,700.0,4,3.8
0,0,14,1,83,200.0,4,3.5
0,0,42,1,24,700.0,4,3.8
1,0,119,1,24,700.0,4,3.1
1,0,129,1,24,600.0,4,3.6
0,0,62,1,6,800.0,4,3.3
1,0,24,1,24,600.0,4,3.6
0,0,283,1,24,600.0,4,2.6
0,0,42,1,14,300.0,4,3.6
0,0,10,1,73,300.0,4,3.4
0,0,39,1,24,950.0,4,3.7
1,0,59,1,24,750.0,4,3.8
1,0,179,1,24,600.0,4,3.5
0,0,62,1,73,150.0,4,3.8
0,0,6,1,24,500.0,4,3.4
0,0,30,1,6,1000.0,4,3.1
0,0,10,1,73,300.0,4,3.5
0,0,36,1,24,500.0,4,3.6
0,0,31,1,16,300.0,4,3.7
0,0,11,1,16,600.0,4,3.2
0,0,98,1,6,800.0,4,3.0
0,0,18,1,14,150.0,4,3.5
0,0,10,1,24,500.0,4,3.5
0,0,128,1,24,850.0,4,2.7
1,0,45,1,24,800.0,4,2.8
1,0,119,1,24,400.0,4,3.2
1,0,12,1,14,150.0,4,3.4
0,0,4,1,16,500.0,4,3.3
1,0,41,79,55,400.0,4,3.5
1,0,405,1,24,750.0,4,3.7
1,0,388,1,24,650.0,4,3.9
0,0,651,1,73,100.0,4,4.7
1,0,734,1,73,200.0,4,4.3
0,0,21,1,73,450.0,4,3.7
0,0,1047,1,73,450.0,4,4.0
1,0,505,1,73,450.0,4,3.8
0,0,55,1,73,200.0,4,3.6
1,0,264,1,73,200.0,4,3.9
1,0,133,1,73,300.0,4,3.8
1,0,286,1,73,500.0,4,3.9
0,0,343,1,73,100.0,4,4.4
1,0,66,1,73,150.0,4,3.6
1,0,10,1,73,100.0,4,3.4
1,0,61,1,73,300.0,4,3.8
0,0,70,1,73,500.0,4,3.8
1,0,28,1,73,300.0,4,3.6
1,0,70,1,73,100.0,4,3.8
1,0,28,1,73,150.0,4,3.8
1,0,15,1,73,250.0,4,3.5
1,0,131,1,73,250.0,4,3.8
0,0,19,1,73,150.0,4,3.8
1,0,237,1,73,200.0,4,3.7
1,0,6,1,73,500.0,4,3.3
1,0,201,1,73,300.0,4,4.1
1,0,506,1,73,500.0,4,2.8
0,0,520,1,73,300.0,4,4.1
1,0,104,1,73,300.0,4,3.8
0,0,88,1,73,300.0,4,3.7
1,0,95,1,73,150.0,4,3.6
1,0,136,1,73,600.0,4,3.7
1,0,101,1,73,400.0,4,3.8
1,0,60,1,73,200.0,4,4.2
0,0,88,1,73,250.0,4,3.9
0,0,8,1,73,200.0,4,3.5
0,0,145,1,73,300.0,4,3.4
1,0,46,1,73,500.0,4,3.6
1,0,22,1,73,200.0,4,3.4
1,0,57,1,73,200.0,4,3.9
0,0,189,1,73,300.0,4,3.8
0,0,22,1,73,500.0,4,3.7
1,0,18,1,73,250.0,4,3.6
1,0,73,1,73,400.0,4,3.7
0,0,39,1,73,350.0,4,3.8
1,0,540,1,73,800.0,4,3.9
0,0,71,1,73,250.0,4,3.6
1,0,24,1,73,250.0,4,3.6
0,0,11,1,73,300.0,4,3.5
0,0,9,1,73,350.0,4,3.4
0,0,12,1,73,500.0,4,3.5
1,0,120,1,73,250.0,4,3.8
1,0,82,1,73,300.0,4,3.0
1,0,88,1,73,350.0,4,3.5
1,0,17,1,73,150.0,4,4.0
1,0,87,1,73,600.0,4,3.0
1,0,14,1,73,300.0,4,3.4
0,0,31,1,73,200.0,4,3.5
0,0,17,1,73,300.0,4,3.5
1,0,415,1,73,500.0,4,4.2
1,0,128,1,73,300.0,4,3.3
0,0,94,1,73,100.0,4,4.1
0,0,64,1,73,250.0,4,3.8
0,0,65,1,73,300.0,4,3.7
1,0,7,1,73,250.0,4,3.4
0,0,5,1,73,350.0,4,3.3
0,0,52,1,73,300.0,4,3.5
1,0,123,1,73,200.0,4,2.7
1,0,290,1,73,450.0,4,3.0
1,0,59,1,73,200.0,4,3.7
0,0,130,1,73,200.0,4,3.7
1,0,91,1,73,400.0,4,2.8
1,0,12,1,73,300.0,4,3.3
1,0,80,1,73,250.0,4,3.5
1,0,441,1,73,400.0,4,3.9
0,0,10,1,73,250.0,4,3.4
0,0,12,1,73,100.0,4,3.5
0,0,7,1,73,100.0,4,3.4
0,0,8,1,73,300.0,4,3.4
0,0,9,1,73,300.0,4,3.2
0,0,47,1,73,150.0,4,3.6
0,0,29,1,73,150.0,4,3.1
1,0,66,1,73,300.0,4,3.8
1,0,28,1,73,200.0,4,3.1
0,0,4,1,73,200.0,4,3.2
0,0,7,1,73,200.0,4,3.3
0,0,5,1,73,250.0,4,3.2
0,0,6,1,73,100.0,4,3.1
0,0,17,1,73,200.0,4,3.3
0,0,27,1,73,200.0,4,3.0
0,0,9,1,73,200.0,4,3.1
0,0,4,1,73,200.0,4,3.3
0,0,21,1,73,150.0,4,3.7
0,0,22,1,73,300.0,4,3.6
0,0,15,1,73,300.0,4,3.0
1,0,19,1,73,200.0,4,3.4
1,0,8,1,74,250.0,4,3.4
1,0,84,1,73,250.0,4,3.6
0,0,42,1,73,300.0,4,4.0
